Datetime,AAPL,GOOG,NVDA
2025-01-13 14:30:00+00:00,232.72999572753906,190.5594024658203,131.64019775390625
2025-01-13 14:31:00+00:00,231.86000061035156,190.47999572753906,130.83639526367188
2025-01-13 14:32:00+00:00,231.8000030517578,190.1999969482422,131.0
2025-01-13 14:33:00+00:00,231.64999389648438,189.83999633789062,131.03500366210938
2025-01-13 14:34:00+00:00,231.27000427246094,190.07659912109375,130.94500732421875
2025-01-13 14:35:00+00:00,231.3699951171875,189.72999572753906,130.1750030517578
2025-01-13 14:36:00+00:00,230.69000244140625,188.8249969482422,129.87899780273438
2025-01-13 14:37:00+00:00,230.8061065673828,188.8699951171875,129.9459991455078
2025-01-13 14:38:00+00:00,230.44000244140625,188.8800048828125,130.47000122070312
2025-01-13 14:39:00+00:00,230.49000549316406,189.25,130.9416961669922
2025-01-13 14:40:00+00:00,230.94500732421875,189.67999267578125,130.50999450683594
2025-01-13 14:41:00+00:00,230.65139770507812,189.41000366210938,130.44000244140625
2025-01-13 14:42:00+00:00,230.36749267578125,189.66000366210938,130.4199981689453
2025-01-13 14:43:00+00:00,230.77479553222656,189.985595703125,131.02999877929688
2025-01-13 14:44:00+00:00,231.1699981689453,189.83999633789062,131.36000061035156
2025-01-13 14:45:00+00:00,231.0399932861328,189.53439331054688,131.09010314941406
2025-01-13 14:46:00+00:00,230.94920349121094,189.27000427246094,131.1699981689453
2025-01-13 14:47:00+00:00,231.02000427246094,189.11000061035156,131.0
2025-01-13 14:48:00+00:00,230.55499267578125,189.5449981689453,131.125
2025-01-13 14:49:00+00:00,230.37010192871094,190.36000061035156,130.83999633789062
2025-01-13 14:50:00+00:00,230.5500030517578,189.97000122070312,131.08999633789062
2025-01-13 14:51:00+00:00,230.64999389648438,190.0,131.49000549316406
2025-01-13 14:52:00+00:00,230.5850067138672,190.07989501953125,131.82980346679688
2025-01-13 14:53:00+00:00,230.86920166015625,190.4600067138672,131.8291015625
2025-01-13 14:54:00+00:00,231.25999450683594,190.5800018310547,132.01499938964844
2025-01-13 14:55:00+00:00,231.55499267578125,190.5800018310547,132.06239318847656
2025-01-13 14:56:00+00:00,230.97999572753906,190.6999969482422,132.35800170898438
2025-01-13 14:57:00+00:00,230.63999938964844,190.25999450683594,132.11000061035156
2025-01-13 14:58:00+00:00,230.30999755859375,190.50999450683594,132.07000732421875
2025-01-13 14:59:00+00:00,230.32000732421875,190.69000244140625,132.16000366210938
2025-01-13 15:00:00+00:00,230.27000427246094,190.36000061035156,132.05039978027344
2025-01-13 15:01:00+00:00,230.25,190.77000427246094,131.75999450683594
2025-01-13 15:02:00+00:00,230.24989318847656,190.7899932861328,131.77999877929688
2025-01-13 15:03:00+00:00,230.0500030517578,190.875,131.95089721679688
2025-01-13 15:04:00+00:00,230.10000610351562,190.77999877929688,131.9499969482422
2025-01-13 15:05:00+00:00,230.5500030517578,191.02999877929688,132.12559509277344
2025-01-13 15:06:00+00:00,230.77000427246094,191.32000732421875,132.27499389648438
2025-01-13 15:07:00+00:00,230.7100067138672,191.15750122070312,132.1999969482422
2025-01-13 15:08:00+00:00,231.08999633789062,191.1204071044922,132.1199951171875
2025-01-13 15:09:00+00:00,230.92010498046875,190.91000366210938,131.88999938964844
2025-01-13 15:10:00+00:00,231.19000244140625,190.9149932861328,131.91000366210938
2025-01-13 15:11:00+00:00,231.22000122070312,190.83999633789062,131.94000244140625
2025-01-13 15:12:00+00:00,231.22000122070312,190.85000610351562,131.83999633789062
2025-01-13 15:13:00+00:00,231.19009399414062,190.83999633789062,131.89500427246094
2025-01-13 15:14:00+00:00,231.125,190.87429809570312,131.60499572753906
2025-01-13 15:15:00+00:00,230.86990356445312,190.7301025390625,131.6300048828125
2025-01-13 15:16:00+00:00,230.97000122070312,190.8000030517578,131.72999572753906
2025-01-13 15:17:00+00:00,231.10960388183594,190.80499267578125,131.82899475097656
2025-01-13 15:18:00+00:00,231.1199951171875,190.8800048828125,132.1009063720703
2025-01-13 15:19:00+00:00,231.22000122070312,190.67999267578125,132.01629638671875
2025-01-13 15:20:00+00:00,231.14999389648438,190.99099731445312,132.00999450683594
2025-01-13 15:21:00+00:00,231.0,190.9199981689453,131.8448028564453
2025-01-13 15:22:00+00:00,231.0,190.8000030517578,131.60000610351562
2025-01-13 15:23:00+00:00,230.89239501953125,190.75999450683594,131.52439880371094
2025-01-13 15:24:00+00:00,230.77000427246094,190.6699981689453,131.1699981689453
2025-01-13 15:25:00+00:00,230.42999267578125,190.75,131.25759887695312
2025-01-13 15:26:00+00:00,230.22000122070312,190.74000549316406,131.1199951171875
2025-01-13 15:27:00+00:00,230.3699951171875,190.77999877929688,130.92999267578125
2025-01-13 15:28:00+00:00,230.41009521484375,190.77000427246094,130.9149932861328
2025-01-13 15:29:00+00:00,230.3800048828125,190.74000549316406,130.74989318847656
2025-01-13 15:30:00+00:00,230.47999572753906,191.11000061035156,131.1999969482422
2025-01-13 15:31:00+00:00,230.8300018310547,191.19500732421875,131.33999633789062
2025-01-13 15:32:00+00:00,230.66009521484375,191.17449951171875,131.3800048828125
2025-01-13 15:33:00+00:00,230.5500030517578,191.1999969482422,131.4949951171875
2025-01-13 15:34:00+00:00,230.69000244140625,191.08999633789062,131.49749755859375
2025-01-13 15:35:00+00:00,230.9199981689453,191.11000061035156,131.5800018310547
2025-01-13 15:36:00+00:00,230.875,191.16969299316406,131.7991943359375
2025-01-13 15:37:00+00:00,230.8800048828125,191.11000061035156,131.88999938964844
2025-01-13 15:38:00+00:00,231.0,191.35000610351562,132.11000061035156
2025-01-13 15:39:00+00:00,231.25999450683594,191.3699951171875,132.26499938964844
2025-01-13 15:40:00+00:00,231.05999755859375,191.1699981689453,132.10000610351562
2025-01-13 15:41:00+00:00,231.42999267578125,191.4199981689453,132.0998992919922
2025-01-13 15:42:00+00:00,231.5399932861328,191.41000366210938,132.37559509277344
2025-01-13 15:43:00+00:00,231.4600067138672,191.3000030517578,132.5399932861328
2025-01-13 15:44:00+00:00,231.36500549316406,191.30999755859375,132.8000030517578
2025-01-13 15:45:00+00:00,231.42999267578125,191.3699951171875,132.67999267578125
2025-01-13 15:46:00+00:00,231.72000122070312,191.3699951171875,132.75
2025-01-13 15:47:00+00:00,231.5601043701172,191.38999938964844,132.7006072998047
2025-01-13 15:48:00+00:00,231.5919952392578,191.52000427246094,133.0399932861328
2025-01-13 15:49:00+00:00,231.6199951171875,191.52000427246094,133.0500030517578
2025-01-13 15:50:00+00:00,231.46800231933594,191.47000122070312,132.98500061035156
2025-01-13 15:51:00+00:00,231.36000061035156,191.36000061035156,132.79029846191406
2025-01-13 15:52:00+00:00,231.11000061035156,191.2550048828125,132.4250030517578
2025-01-13 15:53:00+00:00,230.9949951171875,191.2301025390625,132.24989318847656
2025-01-13 15:54:00+00:00,230.80999755859375,191.3800048828125,132.35000610351562
2025-01-13 15:55:00+00:00,230.85000610351562,191.389404296875,132.32000732421875
2025-01-13 15:56:00+00:00,230.88999938964844,191.18179321289062,132.05999755859375
2025-01-13 15:57:00+00:00,231.0800018310547,191.11000061035156,132.00999450683594
2025-01-13 15:58:00+00:00,231.03219604492188,190.99000549316406,131.85499572753906
2025-01-13 15:59:00+00:00,231.11500549316406,190.9199981689453,131.875
2025-01-13 16:00:00+00:00,231.14500427246094,191.14999389648438,131.8251953125
2025-01-13 16:01:00+00:00,231.24000549316406,191.33999633789062,131.92999267578125
2025-01-13 16:02:00+00:00,231.4499969482422,191.3000030517578,131.7949981689453
2025-01-13 16:03:00+00:00,231.42999267578125,191.3000946044922,131.85980224609375
2025-01-13 16:04:00+00:00,231.36500549316406,191.30999755859375,131.76499938964844
2025-01-13 16:05:00+00:00,231.18499755859375,191.05999755859375,131.5749969482422
2025-01-13 16:06:00+00:00,230.843505859375,190.8699951171875,131.57000732421875
2025-01-13 16:07:00+00:00,230.9600067138672,190.8300018310547,131.60000610351562
2025-01-13 16:08:00+00:00,230.8448028564453,190.67599487304688,131.60000610351562
2025-01-13 16:09:00+00:00,230.73500061035156,190.63999938964844,131.57000732421875
2025-01-13 16:10:00+00:00,230.8000030517578,190.64999389648438,131.67640686035156
2025-01-13 16:11:00+00:00,230.75999450683594,190.63999938964844,131.57679748535156
2025-01-13 16:12:00+00:00,230.7183074951172,190.6999969482422,131.5727996826172
2025-01-13 16:13:00+00:00,230.57479858398438,190.6999969482422,131.52999877929688
2025-01-13 16:14:00+00:00,230.625,190.6699981689453,131.72500610351562
2025-01-13 16:15:00+00:00,230.75999450683594,190.67999267578125,131.82000732421875
2025-01-13 16:16:00+00:00,230.75,190.6999969482422,131.68499755859375
2025-01-13 16:17:00+00:00,230.74459838867188,190.57989501953125,131.4600067138672
2025-01-13 16:18:00+00:00,230.75,190.5800018310547,131.47999572753906
2025-01-13 16:19:00+00:00,230.89559936523438,190.60000610351562,131.4550018310547
